game_ID,team_ID,t2_champ1_sum1,t2_champ1_sum2,t2_champ2_sum1,t2_champ2_sum2,t2_champ3_sum1,t2_champ3_sum2,t2_champ4_sum1,t2_champ4_sum2,t2_champ5_sum1,t2_champ5_sum2
3320809546,2,4,12,3,4,6,4,11,4,4,7
3324780567,2,4,14,4,7,4,12,12,4,4,11
3329580241,2,4,11,4,14,4,12,4,7,4,14
3284258021,2,7,4,4,3,4,21,4,12,11,4
3322667384,2,14,4,14,4,11,4,7,4,12,4
3329911332,2,7,4,7,4,4,3,11,4,12,4
3323195724,2,4,6,4,3,4,7,6,11,4,14
3266491878,2,3,4,7,4,12,4,4,3,4,11
3329967399,2,4,7,11,4,3,4,12,6,14,4
3286156157,2,4,7,4,12,4,3,4,12,6,11
3315822557,2,6,11,3,4,12,4,7,4,4,14
3255771424,2,12,4,4,7,14,4,4,11,3,4
3326141082,2,11,4,12,4,1,4,7,4,4,14
3323137521,2,3,4,4,11,4,7,12,4,4,3
3326748877,2,4,12,4,3,4,11,4,14,4,7
3329353675,2,12,4,21,4,4,11,3,4,7,4
3307247426,2,11,4,4,12,4,7,3,4,14,4
3303786715,2,11,4,4,7,4,14,12,4,4,3
3330222933,2,4,11,12,4,4,7,14,4,3,4
3330770893,2,4,14,11,4,4,12,4,12,12,4
3324617026,2,6,4,4,11,4,7,3,4,4,12
3317579194,2,14,4,4,7,4,12,4,14,4,11
3329677664,2,11,4,14,4,4,12,4,3,7,4
3327949426,2,12,4,3,4,7,4,4,11,12,4
3329680381,2,12,4,12,4,4,14,4,11,4,7
3250363663,2,4,11,12,4,4,14,4,14,4,7
3226806009,2,4,11,4,14,4,12,3,4,7,4
3329228498,2,12,4,4,7,4,3,4,3,4,11
3325674063,2,7,4,11,4,4,12,3,4,4,12
3326546339,2,4,12,11,4,4,21,7,4,3,4
3326246642,2,3,4,7,4,12,4,4,11,4,12
3279357309,2,4,12,4,3,4,7,11,4,4,14
3321453495,2,7,4,4,12,14,4,3,4,11,4
3325742062,2,11,4,4,12,12,4,4,7,3,4
3305781267,2,4,21,12,4,4,7,14,11,14,4
3285380402,2,4,14,4,12,4,7,4,11,4,3
3327551622,2,4,7,14,4,4,21,4,11,14,4
3317802158,2,11,4,3,4,21,4,4,7,4,12
3325670011,2,4,14,4,14,4,3,4,7,11,4
3266840374,2,3,4,4,14,12,4,7,4,11,4
3221701644,2,4,12,4,3,4,14,7,4,4,11
3319204057,2,1,4,4,14,4,12,7,4,11,4
3281128431,2,3,4,4,11,4,14,14,4,7,4
3306840599,2,4,11,4,12,14,4,4,3,4,7
3316748027,2,4,12,3,4,4,7,4,7,11,4
3325896401,2,4,12,11,4,21,4,4,6,3,4
3247965116,2,7,4,4,11,12,4,14,4,4,3
3316398607,2,4,6,4,3,4,7,11,4,4,12
3287106802,2,7,4,6,4,4,3,4,11,4,1
3320521537,2,14,4,11,4,4,14,4,7,12,4
3329924078,2,4,11,4,14,12,4,14,4,4,7
3329211150,2,4,7,4,11,4,14,4,3,4,12
3324772380,2,3,4,14,4,4,11,4,7,4,12
3327879350,2,3,4,4,11,4,12,4,7,14,4
3284381729,2,14,4,4,7,11,4,12,4,4,12
3325790087,2,3,4,11,4,7,4,4,12,4,12
3324238753,2,12,4,4,7,4,11,14,4,14,4
3321806088,2,4,3,4,6,11,4,7,4,4,12
3329913611,2,11,4,4,12,4,3,4,7,4,3
3314306079,2,4,11,3,4,4,12,4,14,4,7
3324729386,2,4,11,14,4,7,4,6,4,14,4
3331236806,2,21,4,11,4,4,14,4,7,14,4
3331280831,2,4,3,11,4,12,4,4,7,4,12
3320876986,2,4,11,4,3,14,4,4,12,12,4
3329494278,2,12,4,11,4,3,4,7,4,14,4
3307395806,2,4,14,12,4,7,4,11,4,3,4
3262208126,2,4,7,4,12,4,14,3,4,11,4
3326223439,2,3,4,7,4,4,14,12,4,4,11
3274396494,2,12,6,14,4,4,11,14,4,4,7
3318818090,2,4,14,7,4,4,11,14,4,4,3
3317777020,2,4,11,12,4,4,14,7,4,7,4
3282212583,2,4,12,4,12,4,7,11,4,3,4
3320658926,2,4,7,4,3,14,4,11,4,4,12
3328245104,2,4,12,4,7,12,4,4,11,4,3
3317614495,2,4,3,12,4,4,3,7,4,11,4
3331347853,2,12,4,21,4,3,4,11,4,4,7
3302077245,2,4,11,3,4,21,4,7,4,12,4
3328983490,2,12,4,4,14,4,7,14,4,11,4
3297576599,2,7,4,11,4,7,4,14,4,4,12
3331384849,2,4,7,4,3,4,11,4,7,12,4
3320877088,2,7,4,3,4,4,12,4,1,4,11
3325624093,2,4,3,11,4,12,4,7,4,4,6
3326758313,2,4,11,4,7,14,4,4,12,4,14
3253564836,2,4,3,11,4,12,4,4,7,4,21
3325664571,2,4,14,4,12,4,7,3,4,11,4
3295009462,2,7,4,3,4,11,4,3,4,4,12
3317172998,2,12,4,3,4,4,12,4,7,11,4
